# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth altitude_probe perigee dt_used a_probe P_drag
0 0 0 0 0 384748000 0 0 1022 314159000 0 0 1200 -3.77441165071147e+28 0 7.5093494e+25 314159000 307780900 307780900 16 0.00305422308031494 0
160 0.424028297048492 6.00714472526019e-05 0.00530035363396281 1.12633962942122e-06 384747965.536195 163519.995117565 -0.430797554364303 1021.99990845434 314158960.905946 191999.987775376 -0.488675646067549 1199.99977078831 -3.77441165071147e+28 -6230604.1747089 7.5093494e+25 314159019.15284 307780919.15284 307780900 16 0.00305422354702348 0
320 1.69611311221636 0.000480571565417516 0.0106007063182056 4.50535832076341e-06 384747862.144787 327039.96094052 -0.861595031538081 1021.99963381739 314158843.623808 383999.902203035 -0.977351011438097 1199.99908315368 -3.77441165071147e+28 -6796504.86974629 7.5093494e+25 314159076.611317 307780976.611317 307780900 16 0.00305422494714096 0
480 3.8162542175708 0.00162192896239219 0.0159010571030084 1.01370554832622e-05 384747689.825794 490559.868174262 -1.29239235433082 1021.99917608918 314158648.153653 575999.669935395 -1.46602581541489 1199.99793709737 -3.77441165071146e+28 -30531817.924147 7.5093494e+25 314159172.375295 307781072.375295 307780900 16 0.003054227280643 0
640 6.78445123322386 0.00384457212004432 0.0212014050386516 1.80214301323103e-05 384747448.579246 654079.687524195 -1.72318944555204 1021.9985352698 314158374.495592 767999.21762515 -1.95469977730167 1199.99633262152 -3.77441165071146e+28 12125151.4185598 7.5093494e+25 314159306.44455 307781206.44455 307780900 16 0.003054230547489 0
800 10.6007036273325 0.00750892933119708 0.0265017491754162 2.8158480889458e-05 384747138.405187 817599.389695742 -2.15398622801129 1021.99771135937 314158022.649784 959998.471925397 -2.44337261640293 1199.99426972911 -3.77441165071146e+28 -22285836.5526619 7.5093494e+25 314159478.818771 307781378.818771 307780900 16 0.00305423474762207 0
960 15.2650107160985 0.0129754286366142 0.0318020885635837 4.05482059824128e-05 384746759.303674 981118.945394344 -2.58478262451818 1021.99670435802 314157592.61643 1151997.35948978 -2.93204405202413 1199.99174842396 -3.77441165071146e+28 -45125651.8464489 7.5093494e+25 314159689.497553 307781589.497553 307780900 16 0.00305423988096909 0
1120 20.7773716637691 0.0206044977619853 0.0371024222534364 5.51906032450401e-05 384746311.274772 1144638.32532547 -3.01557855788236 1021.99551426593 314157084.395777 1343995.80697263 -3.42071380347199 1199.98876871077 -3.77441165071146e+28 64188329.3745992 7.5093494e+25 314159938.480406 307781838.480406 307780900 16 0.00305424594744072 0
1280 27.1377854826365 0.0307565640549111 0.0424027492952575 7.20856701173635e-05 384745794.318564 1308157.50019461 -3.44637395091359 1021.99414108331 314156497.988117 1535993.74102909 -3.90938159005472 1199.98533059505 -3.77441165071146e+28 86023982.012869 7.5093494e+25 314160225.766747 307782125.766747 307780900 16 0.00305425294693135 0
1440 34.3462510330384 0.0437920544218887 0.0477030687393315 9.12334036455651e-05 384745208.435141 1471676.44070731 -3.8771687264217 1021.9925848104 314155833.393788 1727991.08831525 -4.39804713108225 1199.9814340832 -3.77441165071146e+28 82533946.0287493 7.5093494e+25 314160551.355905 307782451.355905 307780900 16 0.00305426087931914 0
1600 42.402767023358 0.0600713952652972 0.0530033796359438 0.000112633800481986 384744553.624608 1635195.11756914 -4.30796280721663 1021.99084544747 314155090.61317 1919987.77548831 -4.8867101458665 1199.97707918246 -3.77441165071146e+28 99998960.6823555 7.5093494e+25 314160915.24712 307782815.24712 307780900 16 0.00305426974446603 0
1760 51.3073320100244 0.0799550124203828 0.0583036810353817 0.000136286856885126 384743829.887084 1798713.50148571 -4.73875611610843 1021.98892299482 314154269.646691 2111983.72920666 -5.37537035372161 1199.9722659009 -3.77441165071147e+28 89418618.4740101 7.5093494e+25 314161317.439542 307783217.439542 307780900 16 0.0030542795422177 0
1920 61.0599443975129 0.103803331092245 0.0636039719879336 0.000162192568719645 384743037.222696 1962231.56316271 -5.16954857590728 1021.9868174528 314153370.494822 2303978.87613009 -5.86402747396422 1199.96699424746 -3.77441165071146e+28 92765307.7011807 7.5093494e+25 314161757.93223 307783657.93223 307780900 16 0.00305429027240364 0
2080 71.6606024383447 0.13197677579282 0.06890425154389 0.000190350931456366 384742175.631589 2125749.27330586 -5.6003401094235 1021.98452882177 314152393.158079 2495973.14291987 -6.35268122591367 1199.96126423194 -3.77441165071146e+28 16132767.2115936 7.5093494e+25 314162236.724157 307784136.724157 307780900 16 0.00305430193483708 0
2240 83.1093042330881 0.164835770277872 0.074204518753543 0.000220761940172269 384741245.113915 2289266.60262096 -6.03113063946757 1021.98205710213 314151337.637024 2687966.4562389 -6.8413313288923 1199.95507586498 -3.77441165071146e+28 18240710.0880192 7.5093494e+25 314162753.814204 307784653.814204 307780900 16 0.00305431452931507 0
2400 95.406047730358 0.202740737483971 0.0795047726671871 0.0002534255895505 384740245.669842 2452783.52181384 -6.46192008885013 1021.97940229431 314150203.932263 2879958.74275187 -7.32997750222567 1199.94842915805 -3.77441165071146e+28 66547271.2279869 7.5093494e+25 314163309.201163 307785209.201163 307780900 16 0.00305432805561841 0
2560 108.550830726817 0.246052099465486 0.0848050123351186 0.000288341873880365 384739177.299548 2616300.00159046 -6.892708380382 1021.97656439878 314148992.044448 3071949.92912534 -7.81861946524278 1199.9413241235 -3.77441165071146e+28 101037587.434887 7.50934940000001e+25 314163902.883736 307785802.883736 307780900 16 0.00305434251351175 0
2720 122.543650867174 0.295130277331567 0.0901052368076365 0.000325510787057334 384738040.003226 2779816.0126568 -7.3234954368742 1021.97354341603 314147701.974274 3263939.94202795 -8.3072569372764 1199.93376077453 -3.77441165071146e+28 56401936.4862983 7.50934940000001e+25 314164534.860538 307786434.860538 307780900 16 0.00305435790274349 0
2880 137.384505644188 0.350335691183132 0.0954054451350423 0.000364932322583043 384736833.781079 2943331.52571897 -7.75428118113794 1021.97033934659 314146333.722483 3455928.7081305 -8.79588963766322 1199.92573912518 -3.77441165071146e+28 96629537.736477 7.50934940000001e+25 314165205.130092 307787105.130092 307780900 16 0.00305437422304586 0
3040 153.073392398664 0.412028760049856 0.10070563636764 0.000406606473565292 384735558.633322 3106846.51148312 -8.18506553598466 1021.96695219102 314144887.289859 3647916.15410611 -9.28451728574419 1199.91725919032 -3.77441165071146e+28 228988972.417603 7.50934940000001e+25 314165913.690833 307787813.690833 307780900 16 0.00305439147413492 0
3200 169.610308319459 0.480569901827153 0.106005809555736 0.000450533232718049 384734214.560185 3270360.94065553 -8.61584842422603 1021.96338194992 314143362.677236 3839902.20663035 -9.7731396008647 1199.90832098572 -3.77441165071146e+28 273882884.753657 7.50934940000001e+25 314166660.541106 307788560.541106 307780900 16 0.00305440965571054 0
3360 186.995250443476 0.556319533213166 0.111305963749641 0.000496712592361449 384732801.561909 3433874.78394257 -9.04662976867396 1021.9596286239 314141759.885487 4031886.79238137 -10.2617563023749 1199.89892452795 -3.77441165071146e+28 358636347.284441 7.50934940000001e+25 314167445.679167 307789345.679167 307780900 16 0.00305442876745643 0
