# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth perigee
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.8440000000e+08 0.0000000000e+00 0.0000000000e+00 1.0220000000e+03 3.1415900000e+08 0.0000000000e+00 0.0000000000e+00 1.2000000000e+03 -3.7819715772e+28 0.0000000000e+00 7.5106780000e+25 3.1415900000e+08 3.0778800000e+08
2.0000000000e+01 6.6386181241e-03 1.1766680062e-07 6.6386181225e-04 1.7650020091e-08 3.8439999946e+08 2.0439999990e+04 -5.3947241023e-02 1.0219999986e+03 3.1415899939e+08 2.3999999976e+04 -6.0885426530e-02 1.1999999964e+03 -3.7819715772e+28 3.7391950679e+05 7.5106780000e+25 3.1415900030e+08 3.0778800000e+08
6.0000000000e+01 5.9747563005e-02 3.1770036132e-06 1.9915854293e-03 1.5885018053e-07 3.8439999514e+08 6.1319999742e+04 -1.6184172246e-01 1.0219999871e+03 3.1415899452e+08 7.1999999354e+04 -1.8265627739e-01 1.1999999677e+03 -3.7819715772e+28 1.3171996382e+06 7.5106780000e+25 3.1415900271e+08 3.0778800000e+08
1.4000000000e+02 3.2529228444e-01 4.0359712349e-05 4.6470325817e-03 8.6485097505e-07 3.8439997357e+08 1.4307999672e+05 -3.7763067870e-01 1.0219999297e+03 3.1415897017e+08 1.6799999179e+05 -4.2619795495e-01 1.1999998241e+03 -3.7819715772e+28 1.3888871899e+06 7.5106780000e+25 3.1415901476e+08 3.0778800000e+08
3.0000000000e+02 1.4936889999e+00 3.9712544003e-04 9.9579261430e-03 3.9712543191e-06 3.8439987862e+08 3.0659996773e+05 -8.0920853077e-01 1.0219996773e+03 3.1415886301e+08 3.5999991925e+05 -9.1328109030e-01 1.1999991925e+03 -3.7819715772e+28 9.6942643939e+06 7.5106780000e+25 3.1415906778e+08 3.0778800000e+08
6.0000000000e+02 5.9747550585e+00 3.1770032296e-03 1.9915846013e-02 1.5885014849e-05 3.8439951447e+08 6.1319974183e+05 -1.6184165518e+00 1.0219987091e+03 3.1415845203e+08 7.1999935399e+05 -1.8265603264e+00 1.1999967700e+03 -3.7819715772e+28 1.9633014272e+07 7.5106780000e+25 3.1415927112e+08 3.0778800000e+08
9.0000000000e+02 1.3443195353e+01 1.0722384260e-02 2.9873753339e-02 3.5741274310e-05 3.8439890757e+08 9.1979912867e+05 -2.4276235534e+00 1.0219970956e+03 3.1415776707e+08 1.0799978197e+06 -2.7398358543e+00 1.1999927324e+03 -3.7819715772e+28 3.9639790111e+07 7.5106780000e+25 3.1415961001e+08 3.0778800000e+08
1.2000000000e+03 2.3899005180e+01 2.5416016513e-02 3.9831641846e-02 6.3540020566e-05 3.8439805790e+08 1.2263979346e+06 -3.2368290258e+00 1.0219948366e+03 3.1415680813e+08 1.4399948320e+06 -3.6531058196e+00 1.1999870799e+03 -3.7819715772e+28 4.5609646460e+07 7.5106780000e+25 3.1416008445e+08 3.0778800000e+08
1.5000000000e+03 3.7342177952e+01 4.9640643599e-02 4.9789505263e-02 9.9281236630e-05 3.8439696547e+08 1.5329959661e+06 -4.0460324592e+00 1.0219919321e+03 3.1415557521e+08 1.7999899062e+06 -4.5663683684e+00 1.1999798125e+03 -3.7819715772e+28 -9.0751611263e+06 7.5106780000e+25 3.1416069445e+08 3.0778800000e+08
1.8000000000e+03 5.3772705201e+01 8.5779003305e-02 5.9747337316e-02 1.4296490066e-04 3.8439563028e+08 1.8395930294e+06 -4.8552333440e+00 1.0219883823e+03 3.1415406831e+08 2.1599825580e+06 -5.4796216464e+00 1.1999709302e+03 -3.7819715772e+28 2.7250317140e+07 7.5106780000e+25 3.1416143999e+08 3.0778800000e+08
2.1000000000e+03 7.3190576578e+01 1.3621382614e-01 6.9705131734e-02 1.9459098596e-04 3.8439405233e+08 2.1461889309e+06 -5.6644311705e+00 1.0219841870e+03 3.1415228744e+08 2.5199723028e+06 -6.3928637997e+00 1.1999604330e+03 -3.7819715772e+28 -5.6895486004e+07 7.5106780000e+25 3.1416232106e+08 3.0778800000e+08
2.4000000000e+03 9.5595779851e+01 2.0332783387e-01 7.9662882244e-02 2.5415946097e-04 3.8439223162e+08 2.4527834770e+06 -6.4736254288e+00 1.0219793463e+03 3.1415023259e+08 2.8799586563e+06 -7.3060929741e+00 1.1999483211e+03 -3.7819715772e+28 -7.0544799622e+07 7.5106780000e+25 3.1416333767e+08 3.0778800000e+08
2.7000000000e+03 1.2098830091e+02 2.8950373807e-01 8.9620582573e-02 3.2167028930e-04 3.8439016816e+08 2.7593764741e+06 -7.2828156093e+00 1.0219738602e+03 3.1414790378e+08 3.2399411340e+06 -8.2193073158e+00 1.1999345945e+03 -3.7819715772e+28 -5.5705959623e+07 7.5106780000e+25 3.1416448980e+08 3.0778800000e+08
3.0000000000e+03 1.4936812375e+02 3.9712423867e-01 9.9578226449e-02 3.9712342969e-04 3.8438786193e+08 3.0659677286e+06 -8.0920012022e+00 1.0219677287e+03 3.1414530101e+08 3.5999192516e+06 -9.1325049706e+00 1.1999192534e+03 -3.7819715772e+28 1.1225346390e+07 7.5106780000e+25 3.1416577744e+08 3.0778800000e+08
3.3000000000e+03 1.8073523050e+02 5.2857202250e-01 1.0953580760e-01 4.8051883603e-04 3.8438531296e+08 3.3725570468e+06 -8.9011816979e+00 1.0219609517e+03 3.1414242428e+08 3.9598925246e+06 -1.0045684085e+01 1.1999022977e+03 -3.7819715772e+28 3.1268041695e+07 7.5106780000e+25 3.1416720059e+08 3.0778800000e+08
3.6000000000e+03 2.1508960141e+02 6.8622976181e-01 1.1949331975e-01 5.7185645734e-04 3.8438252123e+08 3.6791442351e+06 -9.7103565867e+00 1.0219535294e+03 3.1413927360e+08 4.3198604688e+06 -1.0958842804e+01 1.1998837276e+03 -3.7819715772e+28 3.1360296174e+07 7.5106780000e+25 3.1416875922e+08 3.0778800000e+08
3.9000000000e+03 2.5243121483e+02 8.7248011284e-01 1.2945075663e-01 6.7113623782e-04 3.8437948674e+08 3.9857290999e+06 -1.0519525359e+01 1.0219454616e+03 3.1413584898e+08 4.6798225997e+06 -1.1871979276e+01 1.1998635433e+03 -3.7819715772e+28 5.0616880636e+07 7.5106780000e+25 3.1417045334e+08 3.0778800000e+08
